# 4B 模型真机实测（从 Ollama server.log 抽取，非外推）

源: `C:\Users\23002\AppData\Local\Ollama\server.log`
样本数: 219 次完整推理

| # | prompt_tok | prompt_ms | eval_tok | eval_ms | total_ms | tok/s | 12tok | 20tok | 40tok |
| 209 | 8 | 372.2 | 43 | 5240.1 | 5612.3 | 8.02 | 1.50s | 2.49s | 4.99s |
| 210 | 1 | 125.7 | 14 | 1618.8 | 1744.5 | 8.03 | 1.49s | 2.49s | 4.98s |
| 211 | 1 | 125.8 | 14 | 1622.8 | 1748.6 | 8.01 | 1.50s | 2.50s | 4.99s |
| 212 | 9 | 407.4 | 82 | 10122.7 | 10530.1 | 8.00 | 1.50s | 2.50s | 5.00s |
| 213 | 1 | 128.5 | 76 | 9364.2 | 9492.7 | 8.01 | 1.50s | 2.50s | 4.99s |
| 214 | 1 | 124.3 | 103 | 12973.7 | 13098.0 | 7.86 | 1.53s | 2.54s | 5.09s |
| 215 | 10 | 172.2 | 36 | 2582.5 | 2754.6 | 13.55 | 0.89s | 1.48s | 2.95s |
| 216 | 2320 | 34994.2 | 12 | 1339.2 | 36333.4 | 8.21 | 1.46s | 2.44s | 4.87s |
| 217 | 10 | 445.6 | 12 | 1365.4 | 1811.0 | 8.06 | 1.49s | 2.48s | 4.96s |
| 218 | 13 | 560.8 | 40 | 4814.9 | 5375.7 | 8.10 | 1.48s | 2.47s | 4.94s |
| 219 | 9 | 410.6 | 100 | 12281.0 | 12691.6 | 8.06 | 1.49s | 2.48s | 4.96s |

## 汇总（4B = ralsei:v3 / qwen3:4b-instruct-2507-q4_K_M，纯 CPU）

- **eval 速度**: min=7.21 / max=13.55 / **avg=8.07 tok/s**
- **12 tok 整句**: avg **1.49s**（0.89~1.66）
- **20 tok 整句**: avg **2.48s**（1.48~2.77）
- **40 tok 整句**: avg **4.96s**（2.95~5.55）

## 对用户「1~3s 可接受」的判读

- 若指**首字延迟（TTF）**：prompt eval 约 116~47691 ms，**4B 已满足**。
- 若指**整句说完**：4B 在 20 tok 时约 2.48s **勉强压线**，40 tok 时约 4.96s **已超**。
- 7B 按参数量 1.75x 外推 → 约 4.61 tok/s，20 tok ≈ 4.34s、40 tok ≈ 8.67s，**整句口径大概率超 3s**。
- ⚠️ 7B 为**外推值，非实测**（模型尚在下载重试中）。就绪后必须补跑覆盖。
